device_id,timestamp,x,y,z,q_x,q_y,q_z,q_w,std_x,std_y,std_z,std_R,std_P,std_Y,timestamp_parsed,position_uncertainty_2d,valid_position_flag,distance_increment_m
gr-fl-v3-0033,2024-09-09 09:05:58.310000,31.978,45.499,1.819,-0.000,0.021,0.683,0.730,0.014,0.019,0.014,0.000,-0.000,0.001,2024-09-09 09:05:58.310000,0.023600847442411893,True,0.0
gr-fl-v3-0033,2024-09-09 09:05:59.310000,32.678,45.799,1.819,-0.000,0.021,0.683,0.730,0.014,0.019,0.014,0.000,-0.000,0.001,2024-09-09 09:05:59.310000,0.023600847442411893,True,0.7615773105863858
gr-fl-v3-0033,2024-09-09 09:06:00.310000,33.578,46.299,1.819,-0.000,0.021,0.683,0.730,0.02,0.022,0.014,0.000,-0.000,0.001,2024-09-09 09:06:00.310000,0.02973213749463701,True,1.029563014098705
gr-fl-v3-0033,2024-09-09 09:06:01.310000,34.778,46.999,1.819,-0.000,0.021,0.683,0.730,0.03,0.032,0.014,0.000,-0.000,0.001,2024-09-09 09:06:01.310000,0.043863424398922615,True,1.389244398944978
